id_client;sexe;metier;employeur;Enfants;enfant_conduite_accompagne;Valeur résidence principale par tranches;Revenus par tranches;formation;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tarif_devis
871024631;F;animateur du patrimoine;Poirier;OUI;0; 0k-300k;Pas de revenus;Bachelors;Commercial;Sports Car;no;0;7.0;Highly Urban/ Urban;25/02/2022 16:13;complet;dev_integral;323,39
7945239;F;préparateur en pharmacie;Lemaître Charles et Fils;OUI;1; 0k-300k;40k-70k;z_High School;Private;Minivan;no;2;1.0;Highly Urban/ Urban;24/05/2022 21:07;complet;dev_express;257,56
713692930;F;électricien installateur installatrice;Fouquet;OUI;0; 0k-300k;20k-40k;z_High School;Private;Pickup;no;0;4.0;z_Highly Rural/ Rural;24/01/2022 08:17;complet;dev_express;250,68
588888550;F;chargé de veille législative et réglementaire;Perrier;NON;0; 0k-300k;-20k;<High School;Private;z_SUV;no;3;5.0;Highly Urban/ Urban;20/04/2022 03:46;complet;dev_integral;300,3
69165559;M;conseiller pénitentiaire d'insertion et de probation;Carlier;NON;0; 0k-300k;Pas de revenus;Bachelors;Commercial;Panel Truck;no;2;12.0;Highly Urban/ Urban;23/03/2022 01:32;complet;dev_vip;648,13
573751437;F;staffeur-ornemaniste;Coste;OUI;0; 0k-300k;70k-100k;Bachelors;Private;z_SUV;no;2;15.0;z_Highly Rural/ Rural;23/03/2022 22:20;complet;dev_premium;459,83
294816298;F;technicien électrotechnicien électrotechnicienne;Laurent;OUI;2;300k-600k;Pas de revenus;Bachelors;Commercial;Minivan;no;0;9.0;z_Highly Rural/ Rural;13/03/2022 01:10;complet;dev_express;261,28
686791659;M;gestionnaire de patrimoine;Martinez Bourdon S.A.;NON;0; 0k-300k;40k-70k;Bachelors;Private;z_SUV;no;1;10.0;Highly Urban/ Urban;09/03/2022 03:43;complet;dev_premium;343,17
866093378;M;officier de gendarmerie;Techer;NON;0;300k-600k;Pas de revenus;PhD;Private;Minivan;no;0;14.0;Highly Urban/ Urban;29/01/2022 10:17;complet;dev_premium;389,24
401200262;F;peintre en bâtiment;Schmitt;NON;0; 0k-300k;Pas de revenus;Bachelors;Commercial;Panel Truck;yes;1;10.0;Highly Urban/ Urban;26/03/2022 07:37;complet;dev_integral;310,66
926073051;F;intégrateur web;Riou;OUI;1; 0k-300k;20k-40k;Bachelors;Private;Minivan;no;0;10.0;Highly Urban/ Urban;26/05/2022 05:51;complet;dev_express;261,6
45830738;M;coordonnateur d'études cliniques;Devaux;OUI;0; 0k-300k;20k-40k;z_High School;Private;z_SUV;no;0;1.0;Highly Urban/ Urban;27/01/2022 09:33;complet;dev_premium;380,99
429992959;F;chargé de clientèle banque;Leclercq;NON;0; 0k-300k;70k-100k;PhD;Private;z_SUV;no;0;18.0;Highly Urban/ Urban;08/05/2022 13:32;complet;dev_express;251,44
46606719;M;audioprothésiste;Mathieu;NON;0; 0k-300k;-20k;z_High School;Commercial;Van;no;5;6.0;z_Highly Rural/ Rural;02/05/2022 08:44;complet;dev_integral;307,66
389315422;M;ingénieur opticien opticienne;Blanchard Royer SA;OUI;0; 0k-300k;20k-40k;z_High School;Private;Minivan;no;0;1.0;Highly Urban/ Urban;15/04/2022 13:09;complet;dev_integral;302,89
184578161;M;accompagnateur de tourisme équestre;Merle;NON;0; 0k-300k;40k-70k;Masters;Private;Minivan;no;0;13.0;Highly Urban/ Urban;11/05/2022 02:24;complet;dev_express;279,3
765577228;F;conseiller en fusions-acquisitions;Hamon Lebreton S.A.;NON;0;300k-600k;Pas de revenus;Masters;Private;z_SUV;no;0;15.0;Highly Urban/ Urban;12/04/2022 01:20;complet;dev_integral;321,99
106556153;F;hydrogéologue;Fournier;NON;0; 0k-300k;40k-70k;Bachelors;Commercial;Van;yes;1;8.0;Highly Urban/ Urban;04/03/2022 09:15;complet;dev_express;278,63
351243985;F;toiletteur d'animaux;Richard;NON;0; 0k-300k;70k-100k;Bachelors;Private;Minivan;yes;0;11.0;Highly Urban/ Urban;05/02/2022 17:39;complet;dev_express;271,83
243016778;F;charpentier métallique;Bernard Barthelemy S.A.;NON;0; 0k-300k;40k-70k;Bachelors;Private;z_SUV;no;0;10.0;Highly Urban/ Urban;25/04/2022 14:43;complet;dev_integral;287,68
411375726;M;anatomiste;Pires;OUI;0; 0k-300k;40k-70k;Masters;Private;Minivan;no;0;16.0;z_Highly Rural/ Rural;20/03/2022 03:44;complet;dev_express;270,39
747049542;M;designer industriel industrielle;Guichard;OUI;1; 0k-300k;20k-40k;<High School;Private;Minivan;no;1;;Highly Urban/ Urban;27/03/2022 09:22;complet;dev_premium;376,14
582086109;F;chargé des relations publiques;Vaillant Legrand et Fils;NON;0; 0k-300k;Pas de revenus;z_High School;Commercial;Van;yes;0;7.0;Highly Urban/ Urban;16/05/2022 02:39;complet;dev_premium;372,97
93412915;F;animateur nature nature;Menard Lemaître SA;OUI;0; 0k-300k;40k-70k;z_High School;Commercial;Sports Car;no;5;1.0;Highly Urban/ Urban;06/02/2022 07:52;complet;dev_premium;455,67
461573915;M;ingénieur réservoir;Muller S.A.S.;NON;0; 0k-300k;20k-40k;<High School;Commercial;Pickup;no;1;1.0;Highly Urban/ Urban;27/04/2022 15:06;complet;dev_express;260,6
931284804;M;collaborateur de notaire de notaire;Poulain;NON;0;Non connue;Pas de revenus;z_High School;Private;Minivan;yes;1;;z_Highly Rural/ Rural;13/04/2022 00:52;complet;dev_express;257,29
384628643;F;architecte réseaux;Arnaud;NON;0; 0k-300k;40k-70k;<High School;Private;Sports Car;no;0;1.0;z_Highly Rural/ Rural;22/03/2022 13:32;complet;dev_integral;285,83
922808394;F;styliste;Gimenez et Fils;NON;0; 0k-300k;70k-100k;Masters;Private;z_SUV;no;5;;Highly Urban/ Urban;22/04/2022 03:39;complet;dev_integral;282,37
934739805;F;huissier de justice;Huet Wagner S.A.R.L.;NON;0; 0k-300k;40k-70k;z_High School;Private;z_SUV;no;0;1.0;Highly Urban/ Urban;23/03/2022 22:44;complet;dev_vip;871,83
290532681;F;agronome;Marques S.A.;NON;0;300k-600k;Pas de revenus;Masters;Private;z_SUV;no;0;17.0;Highly Urban/ Urban;12/02/2022 20:23;complet;dev_premium;351,23
